nappi_code,name,schedule,dosage_form,pack_size,sep,dispensing_fee,is_generic,regno
833746006,Medipyn s,S2,syrup,100.0,R 30.92,R 22.58,Generic,28/2.8/0566
846341018,Fungispor (1 applicator),S2,Vcr,1.0,R 39.02,R 25.39,Generic,30/20.2.2/0417
846422018,Fungispor,S2,cream,1.0,R 25.68,R 20.77,Generic,30/20.2.2/0416
873322002,Kiddyflu,S2,syrup,100.0,R 41.03,R 26.08,Originator,28/5.8/0304
700170001,Preflam,S4,syrup,50.0,R 200.50,R 80.37,Generic,36/21.5.1/0191
701342001,Stavir-30,S4,capsule,60.0,R 79.71,R 39.46,Generic,36/20.2.8/0300
701344001,Stavir-40,S4,capsule,60.0,R 94.16,R 44.46,Generic,36/20.2.8/0301
702377001,Ciploxx 250,S4,tablet,10.0,R 47.69,R 28.38,Generic,36/20.1.1/0376
704626001,Flohale 100 Dp-Caps,S3,capsule,60.0,R 152.97,R 64.81,Generic,37/21.5.1/0150
704627001,Flohale 250 Dp-Caps,S3,capsule,60.0,R 253.68,R 95.00,Generic,37/21.5.1/0151
704753001,Lansoloc 15,S4,capsule,30.0,R 178.72,R 73.72,Generic,37/11.4.3/0238
705297001,Melflam,S3,tablet,10.0,R 88.99,R 42.67,Generic,35/3.1/0329
705297002,Melflam,S3,tablet,30.0,R 226.49,R 87.52,Generic,35/3.1/0329
712392001,Cipla Oseltamivir,S4,capsule,10.0,R 427.75,R 142.88,Generic,41/20.2.8/0799
712447001,Clamelle,S4,capsule,4.0,R 163.12,R 68.32,Generic,33/20.1.1/0269
721430001,Trenvir,S4,tablet,30.0,R 365.86,R 125.86,Generic,44/20.2.8/0780
897213009,Depnil,S5,tablet,60.0,R 539.37,R 163.81,Generic,35/1.2/0251
700168001,Carloc,S3,tablet,30.0,R 134.22,R 58.32,Generic,34/7.1.3/0433
700715003,Asthavent ecohaler cfc-free 300dose,S2,inhaler,300.0,R 92.40,R 43.85,Generic,34/10.2.1/0354
700717003,Glygard,S3,tablet,60.0,R 118.85,R 53.00,Generic,34/21.2/0070
700722003,Zopivane,S5,tablet,30.0,R 98.34,R 45.91,Generic,35/2.2/0021
701282003,Cipla Lamivudine,S4,tablet,60.0,R 172.22,R 71.47,Generic,35/20.2.8/0248
701422001,Cipla-actin,S2,tablet,30.0,R 89.59,R 42.88,Generic,36/5.7.1/0072
701499001,Topla,S1,cream,5.0,R 321.09,R 113.54,Generic,33/4/0174
702379001,Ciploxx 500,S4,tablet,10.0,R 83.37,R 40.73,Generic,36/20.1.1/0377
702576001,Pinaspor T,S1,cream,20.0,R 49.84,R 29.13,Generic,33/20.2.2/0266
702935018,Octin opthalmic drops 5ml,S4,drops,5.0,R 130.46,R 57.02,Generic,36/15.1/0002
703313001,Allecet,S2,syrup,150.0,R 220.25,R 85.80,Generic,37/5.7.1/0153
703313002,Allecet,S2,syrup,50.0,R 86.68,R 41.87,Generic,37/5.7.1/0153
703313003,Allecet,S2,syrup,60.0,R 100.51,R 46.66,Generic,37/5.7.1/0153
703315001,Allecet,S2,tablet,30.0,R 134.44,R 58.40,Generic,37/5.7.1/0034
703315002,Allecet,S2,tablet,10.0,R 56.93,R 31.58,Generic,37/5.7.1/0034
703634001,Cipla-fluconazole,S4,capsule,14.0,R 241.12,R 91.54,Generic,38/20.2.2/0098
703635001,Difluzole,S4,capsule,1.0,R 65.45,R 34.53,Generic,38/20.2.2/0102
703645001,Cipla lisinopril (was zemax),S3,tablet,30.0,R 139.40,R 60.11,Generic,35/7.1.3/0252
703646001,Cipla lisinopril (was zemax ),S3,tablet,30.0,R 102.85,R 47.47,Generic,36/7.1.3/0071
703937001,Osteobon - 10,S3,tablet,30.0,R 410.01,R 138.00,Generic,A39/3.2/0243
703983001,Duolin respules (solution for inhalation,S3,vial,60.0,R 670.93,R 183.17,Generic,37/10.2.1/0012
704037001,Cipla-Zidovudine,S4,capsule,100.0,R 364.68,R 125.53,Generic,34/20.2.8/0142
704037002,Cipla-Zidovudine,S4,capsule,120.0,R 430.66,R 143.68,Generic,34/20.2.8/0142
704038001,Cipla Zidovudine 300,S4,tablet,60.0,R 610.00,R 174.20,Generic,38/20.2.8/0215
704039001,Cipla-zidovudine,S4,solution,100.0,R 115.35,R 51.79,Generic,37/20.2.8/0614
704039002,Cipla-zidovudine,S4,solution,200.0,R 210.17,R 83.03,Generic,37/20.2.8/0614
704040001,Cipla-nevirapine,S4,suspension,240.0,R 301.24,R 108.08,Generic,A38/20.2.8/0339
704041001,Cipla Lamivudine Oral Solution,S4,solution,100.0,R 94.45,R 44.56,Generic,37/20.2.8/0615
704041002,Cipla-lamivudine,S4,solution,240.0,R 199.93,R 80.21,Generic,37/20.2.8/0615
704116001,Cipla-fluconazole,S4,capsule,30.0,R 779.11,R 199.08,Generic,38/20.2.2/0100
704174001,Simcard 40,S4,tablet,30.0,R 273.60,R 100.48,Generic,38/7.5/0372
704176001,Budeflam 200 Dp-Caps,S3,capsule,60.0,R 129.99,R 56.86,Generic,36/21.5.1/0258
704328001,Depramil,S5,tablet,30.0,R 166.88,R 69.62,Generic,A38/1.2/0489
704379001,Epitec,S3,tablet,60.0,R 179.54,R 74.00,Generic,A38/2.5/0571
704380001,Epitec,S3,tablet,60.0,R 245.01,R 92.61,Generic,A38/2.5/0572
704381001,Epitec,S3,tablet,60.0,R 382.58,R 130.46,Generic,A38/2.5/0573
704382001,Epitec,S3,tablet,60.0,R 574.59,R 168.99,Generic,A38/2.5/0574
704383001,Flomist 120dose,S2,Aqs,120.0,R 132.92,R 57.87,Generic,37/21.5.1/0289
704384002,K-Fenak,S2,tablet,15.0,R 69.57,R 35.95,Generic,A38/3.1/0651
704384003,K-fenak,S2,tablet,9.0,R 49.01,R 28.84,Generic,A38/3.1/0651
704681001,Ipvent-40  ,S2,inhaler,1.0,R 239.04,R 90.97,Generic,33/10.2.1/0214
704752001,Lansoloc otc,S2,capsule,7.0,R 65.72,R 34.62,Generic,37/11.4.3/0238
704752002,Lansoloc otc,S2,capsule,14.0,R 113.29,R 51.08,Generic,37/11.4.3/0238
704754001,Lansoloc,S4,capsule,30.0,R 395.58,R 134.03,Generic,37/11.4.3/0155
704778001,Acitab-200 dt,S4,effervescent tablet,25.0,R 143.90,R 61.67,Generic,38/20.2.8/0129
704779001,Acitab-400 dt,S4,effervescent tablet,60.0,R 496.09,R 157.44,Generic,38/20.2.8/0128
