osm_id,name,type,latitude,longitude,address,city,province
1229081334,Macassar Community Day Centre,clinic,-34.0609946,18.7636151,,,Western Cape
1231585129,Lenmed Ahmed Kathrada Private Hospital,hospital,-26.3281495,27.8629648,"K43 Highway, 1827",Lenasia,Gauteng
1231588168,DaruShifa,rehabilitation,-26.3296323,27.8590033,Narbada Avenue,Lenasia,Gauteng
1231631863,Protea Medical Centre,clinic,-26.3216094,27.8601233,"229, Protea Avenue",Lenasia,Gauteng
1231836270,Nishtara Recovery and Wellness Centre,rehabilitation,-26.3293683,27.8689095,"8283, Capella Street",Lenasia,Gauteng
1235188366,Mecklenburg Hospital,hospital,-24.3872257,30.0752783,,,Limpopo
1235211610,,hospital,-24.596995,30.0810975,,,Limpopo
1236961614,,hospital,-24.8430187,31.055093,,,Mpumalanga
1237501603,Sebokeng Hospital,hospital,-26.6069531,27.8487426,,,Gauteng
1237566253,Witrand Psychiatric Hospital,hospital,-26.6849231,27.0664934,,,Gauteng
1238495014,Medicross Westering Medical & Dental Centre,hospital,-33.9431397,25.512585,,,Eastern Cape
1238771829,,hospital,-26.3850666,27.8415605,"1682, Impala Street, 1829",Lenasia South,Gauteng
1239193326,Lephoi Clinic,clinic,-30.5052066,25.9753463,,,Eastern Cape
1240504271,Khensani Hospital,hospital,-23.3169689,30.7094983,,,Limpopo
1245608816,Hayani Psychiatric Hospital,hospital,-22.9386697,30.4869709,,,Limpopo
1249424162,Stellenbosch Provincial Hospital,hospital,-33.9303491,18.8700584,,,Western Cape
1252125037,KID Medical Centre,clinic,-25.6660866,27.2352408,,,Gauteng
1253151472,1010 Planet Dialysis,clinic,-26.3853297,27.8543793,,,Gauteng
1254829208,KwaMagxaki Clinic,clinic,-33.8396819,25.5340808,Mooda Street,,Eastern Cape
1257355841,Thembelihle Clinic,hospital,-26.3406644,27.8663982,,,Gauteng
1258896213,KwaDwesi Clinic,clinic,-33.8482505,25.5188085,"43, Asrayi Street",Ibhayi,Eastern Cape
1259591308,Sherwood Clinic,doctors,-33.9818258,18.4819512,,,Western Cape
1262089238,Ganyesa District Hospital,hospital,-26.5449489,24.1386507,,,Unknown
1262847543,,doctors,-33.9813057,18.4816661,,,Western Cape
1263984579,St Andrews Hospital,hospital,-30.5760714,29.8899253,,,KwaZulu-Natal
1265084778,Welgevallen Community Psychology Clinic,psychotherapist,-33.9396139,18.8668639,,,Western Cape
1266234611,Parys District Hospital,hospital,-26.8965701,27.47245,Hospital Road,Parys,North West
1270673476,SANTA Hospital,hospital,-32.7785042,26.6576156,,,Eastern Cape
1271260617,Boiki Tlhapi Health Centre,clinic,-26.7177081,27.0562415,,,Gauteng
1272201694,,yes,-26.3734313,28.4015789,,,Gauteng
1272201695,,yes,-26.3736163,28.4017876,,,Gauteng
1272201696,N.W.Z health centre,yes,-26.3736259,28.4015774,,,Gauteng
1275174883,Sizwe Tropical Disease Hospital,hospital,-26.1387092,28.1249363,,,Gauteng
1277754443,Trade Route City Wellness Centre,yes,-26.3264827,27.8658376,,,Gauteng
1278905117,Flagstaff Community Health Centre,hospital,-31.0775196,29.4968831,,,KwaZulu-Natal
1281137984,Bishop Lavis Community Health Centre,clinic,-33.9492118,18.5816071,,,Western Cape
1283452096,,clinic,-25.9857533,23.5179808,,,Unknown
1285028519,Gamalakhe Health Center,clinic,-30.8105971,30.3338408,,,KwaZulu-Natal
1285028520,,clinic,-30.8104168,30.3333073,,,KwaZulu-Natal
1285028521,,clinic,-30.8104616,30.3331362,,,KwaZulu-Natal
1285275274,,hospital,-26.1756279,28.0446569,,,Gauteng
1286192211,Valhalla Park Clinic,clinic,-33.9535827,18.5704461,,,Western Cape
1292318866,,doctors,-26.321108,27.8425083,"186, Rose Avenue",Lenasia,Gauteng
1293580148,,adams_medical_centre,-25.7030987,28.3191699,"Galaxy Street, 0021",Pretoria,Gauteng
1294920165,,hospital,-34.004642,18.4539885,,,Western Cape
1294933612,Riverside Medical Centre,clinic,-25.4407372,30.9613232,,,Mpumalanga
1298160381,,clinic,-31.7201227,28.6861865,,,Eastern Cape
1299972516,Dannhauser Community Health Centre,clinic,-28.0211169,30.0503044,3080,,KwaZulu-Natal
1301259228,,clinic,-27.9268443,30.1684101,,,KwaZulu-Natal
1303589744,Khotsong TB Hospital,hospital,-30.3316092,28.8071521,,,Free State
1303831269,,clinic,-29.3956223,30.0572021,,,KwaZulu-Natal
1303831335,First Aid Shed,hospital,-29.3978723,30.048601,,,KwaZulu-Natal
1304608743,Clicks,pharmacy,-33.9141642,18.4817814,"1, Koeberg Road, Brooklyn, 7405",Cape Town,Western Cape
1306991171,Wesbank Clinic,clinic,-33.9693764,18.659523,"7, Silversands Main Road, 7100",Wesbank,Western Cape
1308601776,,clinic,-31.9255158,29.1859754,,,Eastern Cape
1308758198,,clinic,-31.9474079,28.3700861,,,Eastern Cape
1309519263,Kliptown Clinic,clinic,-26.2901463,27.8952244,"21, Ascot Road, 1811",Eldorado Park,Gauteng
1309884307,Delft South Clinic,clinic,-33.991603,18.6335214,"2, Boyce Street, Delft South, 7100",Cape Town,Western Cape
1311143298,Crown Gardens Clinic,hospital,-26.2486345,28.0042481,,,Gauteng
1311615622,Queen Nolonolo Clinic,clinic,-27.8999879,31.6500355,3950,Nongoma,KwaZulu-Natal
1314565167,Lentegeur Psychiatric Hospital,hospital,-34.0233964,18.6199638,,,Western Cape
1317140811,Sharpeville Community Health Centre,clinic,-26.6880751,27.8708894,,,Gauteng
1317320506,Raslouw Wellness Centre,yes,-25.8645634,28.1078117,,,Gauteng
1317440125,,hospital,-23.8755562,28.6947283,,,Limpopo
1317573717,Touwsrivier Kliniek,hospital,-33.3406992,20.0285908,,,Western Cape
1317573718,,clinic,-33.3407423,20.0287329,,,Western Cape
1317908456,,hospital,-23.6346107,29.1205377,,,Limpopo
1318815999,Amakhasi Clinic,hospital,-28.4654756,30.2173969,,,KwaZulu-Natal
1322458100,,hospital,-23.3336985,28.0093326,,,Limpopo
1323372150,Magudu Hospital,hospital,-27.5333166,31.6550322,,,KwaZulu-Natal
1324118929,,doctors,-29.7494166,25.3173996,,,Free State
1327579225,Wespark Itumeleng Medical Centre,clinic,-25.7546865,28.1264993,"West Park, Inner Crescent, 0183",Pretria,Gauteng
1330710600,,clinic,-30.7466917,29.4248501,,,KwaZulu-Natal
1333219262,,clinic,-31.3889629,29.6220354,,,Eastern Cape
1334009321,,clinic,-31.7694961,29.275327,,,Eastern Cape
1340076720,Nababeep Community Health Centre,hospital,-29.5926143,17.7815521,,,Northern Cape
1341002148,Lancet Laboritories,laboratory,-33.9840103,18.4914188,,,Western Cape
1341002163,,doctors,-33.9864053,18.4971263,,,Western Cape
1341756024,Magogwe Medical Center,clinic,-25.9072336,25.6100835,,,North West
1342404378,Huhudi Community Health Center,clinic,-26.974467,24.739193,,,North West
1344556431,Victoria Medical Centre,clinic,-25.8601179,25.6405124,Victoria Street,Mahikeng,North West
1346284308,,clinic,-32.0940277,28.098894,,,Eastern Cape
1347418895,Clinic Van Wyksdorp,clinic,-33.7491517,21.4600825,,,Unknown
1349250885,,doctors,-34.0207614,18.4658792,,,Western Cape
1349277227,Dewagensdrift Clinic,hospital,-25.5093741,28.5347564,,,Gauteng
1349721854,Medleb Private Hospital,hospital,-24.3017922,29.4752597,,,Limpopo
1351558723,Kareedouw Surgery,clinic,-33.951943,24.2931976,,,Unknown
1352017027,,hospital,-27.1343663,32.0063618,,,KwaZulu-Natal
1355780705,Koketso Medical Centre,clinic,-25.6462767,27.2222382,"Makheni Street, 0299",Tlhabane,Gauteng
1358191765,,hospital,-25.0437498,27.9149254,,,North West
1359419894,Umtshezi Private Hospital,hospital,-29.02199,29.8519303,,,KwaZulu-Natal
1360142547,Gelukspan Hospital,hospital,-26.1980279,25.6028814,,,North West
1361378169,,clinic,-32.8174427,26.985035,,,Eastern Cape
1361732695,,clinic,-31.1851805,29.5515275,,,Eastern Cape
1361732698,,clinic,-31.2362215,29.5570803,,,Eastern Cape
1363165838,,clinic,-31.7330023,29.2792189,,,Eastern Cape
1363168520,,clinic,-31.6378109,29.3131824,,,Eastern Cape
1363626024,,clinic,-31.6381689,29.4683166,,,Eastern Cape
1364992126,,clinic,-31.4020927,28.8441666,,,Eastern Cape
1365586445,Philedalphia Hospital,hospital,-25.2574739,29.1497116,,,Mpumalanga
1366372744,,clinic,-31.3563111,28.8361407,,,Eastern Cape
1367284683,Itsoseng Community Health Centre,hospital,-26.0899439,25.8692173,,Itsoseng,North West
1370672043,Ratlou Hospital,hospital,-26.4371607,25.2040834,,Madibogo,North West
1370672044,Ratlou Community Health Center,clinic,-26.4381342,25.2043254,,Madibogo,North West
1370810606,Lesogo Health Centre,clinic,-26.429528,25.1716796,,Madibogo,North West
1373584714,Palm Ridge Clinic,clinic,-26.3876738,28.1437072,,,Gauteng
1374372002,Essential Health Pharmacy - Bergrivier,pharmacy,-33.6388597,19.0096645,"49, Church Street, 7655",Wellington,Western Cape
1374405993,Mogosane Clinic,clinic,-25.7382728,25.5503447,,,North West
1377882529,,clinic,-26.1067402,27.9869869,,,Gauteng
1377915942,Boikhutso Clinic,clinic,-26.178804,26.1431256,"720, Khudu Street",Lichtenburg,North West
1378915033,Tshwarango District Hospital,hospital,-27.3059123,23.3454063,,,Northern Cape
1379418594,,pharmacy,-27.4602912,23.4426858,,,Northern Cape
1381927501,,hospital,-28.2673565,29.1259881,,,KwaZulu-Natal
1386036482,,clinic,-33.1838712,19.0076637,,,Western Cape
1388855850,Seraleng Clinic,clinic,-25.6092517,27.241526,,,Gauteng
1390626826,,hospital,-28.1292773,31.3455565,,,KwaZulu-Natal
1391310608,,hospital,-28.5314913,30.510886,,,KwaZulu-Natal
