Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
12706,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.01,"Fracture of calcaneus, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12707,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.1,Fracture of talus,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12708,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.10,"Fracture of talus, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12709,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.11,"Fracture of talus, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12710,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.2,Fracture of other tarsal bone(s),N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12711,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.20,"Fracture of other tarsal bone(s), closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12712,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.21,"Fracture of other tarsal bone(s), open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12713,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.3,Fracture of metatarsal bone,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12714,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.30,"Fracture of metatarsal bone, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12715,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.31,"Fracture of metatarsal bone, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12716,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.4,Fracture of great toe,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12717,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.40,"Fracture of great toe, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12718,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.41,"Fracture of great toe, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12719,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.5,Fracture of other toe,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12720,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.50,"Fracture of other toe, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12721,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.51,"Fracture of other toe, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12722,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.7,Multiple fractures of foot,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12723,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.70,"Multiple fractures of foot, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12724,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.71,"Multiple fractures of foot, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12725,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.9,"Fracture of foot, unspecified",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12726,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.90,"Fracture of foot, unspecified, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12727,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S92,"Fracture of foot, except ankle",S92.91,"Fracture of foot, unspecified, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12728,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12729,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.0,Dislocation of ankle joint,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12730,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.1,Dislocation of toe(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12731,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.2,Rupture of ligaments at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12732,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.3,Dislocation of other and unspecified parts of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12733,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.4,Sprain and strain of ankle,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12734,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.5,Sprain and strain of toe(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12735,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S93,"Dislocation, sprain and strain of joints and ligaments at ankle and at foot level",S93.6,Sprain and strain of other and unspecified parts of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12736,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94,Injury of nerves at ankle and foot level,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12737,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.0,Injury of lateral plantar nerve,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12738,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.1,Injury of medial plantar nerve,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12739,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.2,Injury of deep peroneal nerve at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12740,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.3,Injury of cutaneous sensory nerve at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12741,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.7,Injury of multiple nerves at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12742,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.8,Injury of other nerves at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12743,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S94,Injury of nerves at ankle and foot level,S94.9,Injury of unspecified nerve at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12744,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95,Injury of blood vessels at ankle and foot level,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12745,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.0,Injury of dorsal artery of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12746,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.1,Injury of plantar artery of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12747,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.2,Injury of dorsal vein of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12748,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.7,Injury of multiple blood vessels at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12749,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.8,Injury of other blood vessels at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12750,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S95,Injury of blood vessels at ankle and foot level,S95.9,Injury of unspecified blood vessel at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12751,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96,Injury of muscle and tendon at ankle and foot level,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12752,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.0,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12753,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.1,Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12754,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.2,Injury of intrinsic muscle and tendon at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12755,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.7,Injury of multiple muscles and tendons at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12756,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.8,Injury of other muscles and tendons at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12757,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S96,Injury of muscle and tendon at ankle and foot level,S96.9,Injury of unspecified muscle and tendon at ankle and foot level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12758,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S97,Crushing injury of ankle and foot,S97,Crushing injury of ankle and foot,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12759,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S97,Crushing injury of ankle and foot,S97.0,Crushing injury of ankle,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12760,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S97,Crushing injury of ankle and foot,S97.1,Crushing injury of toe(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12761,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S97,Crushing injury of ankle and foot,S97.8,Crushing injury of other parts of ankle and foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12762,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98,Traumatic amputation of ankle and foot,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12763,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98.0,Traumatic amputation of foot at ankle level,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12764,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98.1,Traumatic amputation of one toe,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12765,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98.2,Traumatic amputation of two or more toes,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12766,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98.3,Traumatic amputation of other parts of foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12767,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S98,Traumatic amputation of ankle and foot,S98.4,"Traumatic amputation of foot, level unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12768,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S99,Other and unspecified injuries of ankle and foot,S99,Other and unspecified injuries of ankle and foot,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12769,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S99,Other and unspecified injuries of ankle and foot,S99.7,Multiple injuries of ankle and foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12770,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S99,Other and unspecified injuries of ankle and foot,S99.8,Other specified injuries of ankle and foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12771,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",207 (S90-S99),Injuries to the ankle and foot,S99,Other and unspecified injuries of ankle and foot,S99.9,Unspecified injury of ankle and foot,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12772,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12773,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.0,Superficial injuries involving head with neck,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12774,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.1,"Superficial injuries involving thorax with abdomen, lower back and pelvis",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12775,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.2,Superficial injuries involving multiple regions of upper limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12776,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.3,Superficial injuries involving multiple regions of lower limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12777,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.6,Superficial injuries involving multiple regions of upper limb(s) with lower limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12778,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.8,Superficial injuries involving other combinations of body regions,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12779,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T00,Superficial injuries involving multiple body regions,T00.9,"Multiple superficial injuries, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12780,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01,Open wounds involving multiple body regions,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12781,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.0,Open wounds involving head with neck,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12782,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.1,"Open wounds involving thorax with abdomen, lower back and pelvis",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12783,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.2,Open wounds involving multiple regions of upper limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12784,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.3,Open wounds involving multiple regions of lower limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12785,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.6,Open wounds involving multiple regions of upper limb(s) with lower limb(s),Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12786,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.8,Open wounds involving other combinations of body regions,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12787,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T01,Open wounds involving multiple body regions,T01.9,"Multiple open wounds, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12788,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02,Fractures involving multiple body regions,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12789,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.0,Fractures involving head with neck,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12790,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.00,"Fractures involving head with neck, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12791,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.01,"Fractures involving head with neck, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12792,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.1,Fractures involving thorax with lower back and pelvis,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12793,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.10,"Fractures involving thorax with lower back and pelvis, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12794,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.11,"Fractures involving thorax with lower back and pelvis, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12795,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.2,Fractures involving multiple regions of one upper limb,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12796,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.20,"Fractures involving multiple regions of one upper limb, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12797,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.21,"Fractures involving multiple regions of one upper limb, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12798,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.3,Fractures involving multiple regions of one lower limb,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12799,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.30,"Fractures involving multiple regions of one lower limb, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12800,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.31,"Fractures involving multiple regions of one lower limb, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12801,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.4,Fractures involving multiple regions of both upper limbs,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12802,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.40,"Fractures involving multiple regions of both upper limbs, closed",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12803,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.41,"Fractures involving multiple regions of both upper limbs, open",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12804,CHAPTER XIX,"Injury, poisoning and certain other consequences of external causes (S00-T98)",208 (T00-T07),Injuries involving multiple body regions,T02,Fractures involving multiple body regions,T02.5,Fractures involving multiple regions of both lower limbs,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
