Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
25,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.0,Enteropathogenic Escherichia coli infection,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
26,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.1,Enterotoxigenic Escherichia coli infection,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
27,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.2,Enteroinvasive Escherichia coli infection,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
28,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.3,Enterohaemorrhagic Escherichia coli infection,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
29,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.4,Other intestinal Escherichia coli infections,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.5,Campylobacter enteritis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
31,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.6,Enteritis due to Yersinia enterocolitica,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
32,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.7,Enterocolitis due to Clostridium difficile,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
33,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.8,Other specified bacterial intestinal infections,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
34,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A04,Other bacterial intestinal infections,A04.9,"Bacterial intestinal infection, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
35,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05,"Other bacterial foodborne intoxications, not elsewhere classified",N,N,N,N,N,,,M,2006-01-01 00:00:00,,,2013-06-01 00:00:00,,Modify title,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
36,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.0,Foodborne staphylococcal intoxication,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
37,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.1,Botulism,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
38,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Y,Y,N,N,N,,,M,,,,2013-06-01 00:00:00,,,Existing code - amend ICD10_3_Code_Desc as per the WHO Corrigenda,,,,,,,,,,,,
